,Item_Name,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Sum,Production_Rank
85,"Oilcrops, Other",236,265,292,283,270,271,264,299,250,316,322,345,465,380,487,435,468,345,370,427,445,394,519,546,503,567,575,754,715,1119,1241,940,1056,1769,1320,1468,1259,1067,1072,1284,1464,1640,2112,1961,2319,2730,3420,3055,2579,3068,2837,2640,2795,57787,99
86,Maize Germ Oil,298,302,320,363,402,394,405,398,414,417,421,437,452,475,447,565,593,633,728,732,804,820,873,958,1010,1052,1097,1119,1202,1302,1341,1332,1419,1290,1359,1364,1407,1440,1300,1425,1726,1584,1570,1875,1845,1935,2048,2125,2098,2125,2051,2152,2197,58143,98
87,Onions,11890,12258,12333,12362,12594,12748,13574,13796,14259,13716,14452,14139,14727,15474,15255,15743,17195,17697,18655,17952,18547,19875,19924,20872,21959,21966,22891,23522,23708,25035,25469,30511,31032,32389,34948,36107,36131,40065,43188,44817,46347,46557,49832,54825,57727,60175,65319,66600,65977,70385,75697,74990,77226,1663542,35
88,"Lemons, Limes and products",2006,2303,2306,2512,2461,2531,2630,2743,2829,2957,3504,3234,3650,3778,4262,3722,4140,4054,4092,4245,4529,4932,4801,4970,5258,6111,6294,6127,6041,6151,7183,7313,7892,7880,8033,8307,9017,9186,9761,11309,11122,11084,10965,10804,10626,11569,14112,14847,15137,12817,13245,14277,14190,367843,66
89,Grapefruit and products,1861,1916,1698,1714,2058,2273,2708,2461,2846,2973,3342,3446,3835,3770,3282,3713,4144,3748,3601,3659,3433,3542,2976,2793,2981,3157,3419,3377,4031,4347,3648,3693,4266,4310,4420,4502,4520,4287,4444,4682,4507,4747,4823,4906,4796,4592,6438,6975,7150,7002,7247,8034,8279,213511,82
90,Plantains,7790,8199,8552,9122,8881,9446,9970,10303,10464,10958,10989,11138,11510,12161,13076,12982,13219,14007,14592,14369,14113,13976,14313,14388,15036,15006,15100,15368,16328,15915,16895,17089,17780,18700,19520,20240,20471,20467,20236,21118,22248,22371,22772,23244,23081,23533,24613,21780,21590,22007,22560,23412,23425,852633,44
91,Pimento,777,845,925,918,826,911,985,913,922,1087,1054,1038,1117,1051,1160,1107,1268,1298,1266,1258,1244,1321,1313,1398,1626,1436,1379,1459,1637,1550,1524,1841,1878,1777,1826,2140,1975,2176,2283,2389,2456,2340,2676,2695,2683,2742,2888,2968,2883,2897,3054,3057,3148,90608,95
92,"Beverages, Fermented",9044,9518,9897,9764,9480,10311,10976,11142,11234,12547,13159,13192,14523,15191,15537,16534,16650,16957,17507,17176,16589,17169,15585,15869,16451,16994,17576,16929,17790,17099,17524,18708,19055,19598,20197,20930,22279,23163,23578,23458,24251,24258,24234,25650,26519,27066,27635,25915,26963,27844,28241,28879,29403,974694,41
93,Pigmeat,19599,20633,22413,24269,25203,26159,27656,28473,28351,29311,32087,33196,33159,34510,33840,34301,35456,37598,41974,44579,45052,45089,46707,48382,50944,51484,53802,56905,58028,59355,61153,69306,71820,73831,75051,75464,75836,80999,82334,84736,84876,87184,90527,90514,92110,95573,98357,101454,103204,105714,106171,109941,112100,3137171,23
94,"Fish, Body Oil",474,506,518,542,561,550,587,661,639,568,552,560,481,529,562,497,588,494,633,757,807,778,673,778,869,823,827,815,921,747,792,680,724,814,848,739,698,512,624,638,649,519,521,566,517,556,617,542,532,530,593,597,454,33085,105
95,"Fish, Liver Oil",50,44,55,52,41,40,48,42,50,55,52,44,49,44,48,23,19,12,13,10,11,14,14,18,20,18,19,13,16,13,12,8,10,9,13,18,21,7,7,9,10,12,14,13,18,11,8,9,6,10,13,10,16,1161,112
96,Demersal Fish,7713,8083,8257,8721,8833,9430,10133,10934,11091,12097,12266,12950,13263,13489,13084,13022,12217,12344,12206,12096,12766,12885,12318,13178,13452,13994,14673,14790,15754,15778,15244,17819,17429,17673,19667,20554,20298,20354,19470,19181,19873,19095,20835,21467,20863,21952,21339,21226,20309,20546,21064,21133,21321,812816,47
97,Pelagic Fish,14383,15445,16176,18093,18890,19029,20255,23875,23129,21900,22452,23524,19306,19792,21906,22926,23597,24551,26819,25569,25962,28656,28402,30038,31988,33170,34523,35443,35648,33929,34624,36930,36913,41892,40219,39780,42555,34565,38261,43159,41576,40615,38823,41177,44225,41158,40856,42402,42056,40275,41749,41649,40504,1650956,36
98,"Marine Fish, Other",3232,3362,3623,3772,4009,4209,4598,4817,4986,4729,5229,5617,6013,6163,6201,6245,6246,6339,5972,6014,6353,6365,6550,6897,7232,8142,8465,8629,9317,9552,9433,9522,10146,10747,10756,11152,10430,10176,10255,10438,10054,9479,8687,8775,9526,8544,8687,9279,10403,10392,10355,10436,10156,403474,65
99,Crustaceans,1280,1370,1456,1509,1571,1662,1747,1868,1841,1936,1998,2158,2429,2558,2423,2577,2787,2897,2917,2996,3011,3199,3335,3534,3844,3994,4334,4552,4723,4707,5165,5610,5798,6282,6801,7169,7350,7742,8012,8371,8848,9197,9241,9737,9964,10570,11017,11234,11814,12019,12425,12914,12780,289993,74
100,Cephalopods,692,853,980,604,845,843,963,1241,985,948,876,1144,1062,1083,1207,1190,1167,1350,1428,1539,1325,1542,1596,1583,1650,1626,2200,2111,2420,2107,1968,2332,2368,2396,2718,2802,2865,2567,3027,3278,3071,3022,3490,3548,3575,3750,4017,3944,3432,3399,3465,3523,3571,110596,90
101,"Molluscs, Other",1882,1988,2160,2187,2187,2270,2289,2388,2438,2736,2833,2818,2680,2762,3216,3622,4063,3825,3903,4029,4360,4482,4813,5272,5587,5711,6586,7033,6531,6746,6338,7454,8630,9814,11562,11198,11582,12057,12590,13084,13079,13997,13586,14111,13722,14092,14321,14593,15744,16365,16587,17676,17536,411233,64
